username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Dan Daley",DanDaley,2018-03-01 05:02,17,69,"Just to be clear on my quote, I’m not worried about my “job.” The draconian NRA backed law silences local officials who seek to protect their community with removal from office, civil fines, and private lawsuits... But we’re going to fight it anyway. #NeverAgain https://twitter.com/newyorker/status/967851867232505857 …",,,#NeverAgain,"969196058113986560",https://twitter.com/DanDaley/status/969196058113986560
"Andrew Goss ✊USAF✊",Goss30Goss,2018-03-01 04:42,225,540,". @SenToomey on #MorningJoe said Pres Obama wanted to take all guns, & that is the reason 2013 Background Check Bill didn't get traction. That is the most cowardly copout bullshit and needs to be called out, Joe. NRA was against it, and GOP were spineless. #NeverAgain",,@SenToomey,#MorningJoe #NeverAgain,"969191266507546624",https://twitter.com/Goss30Goss/status/969191266507546624
"Nick Walden Poublon",NWPinPDX,2018-03-01 04:42,306,468,"Trump would do ANYTHING to save a child from harm? He could prove he's not up to his same old lies by making a deal on #DACA and remove the #Dreamers from the limbo they've been put in because HE decided to end the program. #DreamActNow #NeverAgain #EnoughIsEnough #BoycottNRA pic.twitter.com/nG1fk1SSeD",,,#DACA #Dreamers #DreamActNow #NeverAgain #EnoughIsEnough #BoycottNRA,"969191121615114241",https://twitter.com/NWPinPDX/status/969191121615114241
"CBS This Morning",CBSThisMorning,2018-03-01 04:30,43,128,"Ahead at 8am: We will take you inside the #NeverAgain movement, launched after the Florida school shooting. We'll hear from students who turned the Stoneman Douglas High tragedy into a movement for change across the nation. pic.twitter.com/nwvmIsuwDx",,,#NeverAgain,"969188087661236224",https://twitter.com/CBSThisMorning/status/969188087661236224
"🦋💗ЅℋᎯᏇᏆᎽ💗🦋The Kaitee Project🤰🏻🤱🏻",Shawtypepelina,2018-03-01 04:23,220,237,"This pretty much sums up #Parkland #NeverAgain #NRA #BrowardCowards #FBI #2A #2ADefenders #MAGA #VoteDemsOut #VoteDemOut18 Credit: Branco pic.twitter.com/AqJKvYipnv",,,#Parkland #NeverAgain #NRA #BrowardCowards #FBI #2A #2ADefenders #MAGA #VoteDemsOut #VoteDemOut18,"969186437433298944",https://twitter.com/Shawtypepelina/status/969186437433298944
"Andrew Goss ✊USAF✊",Goss30Goss,2018-03-01 04:20,23,47,"I bet Trump's take guns before due process has Trumpers & NRA up in arms. #NeverAgain #VetsForGunReform pic.twitter.com/0E0Fbyve1j",,,#NeverAgain #VetsForGunReform,"969185674178985984",https://twitter.com/Goss30Goss/status/969185674178985984
"Nick Walden Poublon",NWPinPDX,2018-03-01 04:07,264,378,"Lil' #MarcoRubio fits so well in the breast pocket of the #NRA that he'll never leave. Nursing on #NRABloodMoney while refusing to DO THE JOB he swore he didn't want. #Rubio is an embarrassment, a sell-out who doesn't even bother pretending not to have been bought. #NeverAgain pic.twitter.com/TCqRcWcju9",,,#MarcoRubio #NRA #NRABloodMoney #Rubio #NeverAgain,"969182309818630144",https://twitter.com/NWPinPDX/status/969182309818630144
"Peter Daou",peterdaou,2018-03-01 03:50,628,1990,"That there wasn't a massive outcry on the right over Trump saying “take the guns first, go through due process second,” says EVERYTHING about how paper-thin political convictions are among some Republicans. #NRA #NeverAgain",,,#NRA #NeverAgain,"969177967946543104",https://twitter.com/peterdaou/status/969177967946543104
"Newtown Action",NewtownAction,2018-03-01 03:48,33,68,"Newtown Action Alliance Presses @SpeakerRyan For Action On 56 Gun Bills To Stop Killing Our Children! http://www.tinyurl.com/y84xazxf #NeverAgain #StandwithStudents #GunReformNow #GunControlNow",,@SpeakerRyan,#NeverAgain #StandwithStudents #GunReformNow #GunControlNow,"969177454102417408",https://twitter.com/NewtownAction/status/969177454102417408
"Mayday Mindy 🌊",maydaymindy9,2018-03-01 03:45,166,321,"How much does it BLOW your Mind that after Steve Scalise got shot he STILL DEFENDS the NRA ... @SteveScalise @NRA @realDonaldTrump @GOP #NeverAgain #MSDStrong #BoycottTheNRA @Morning_Joe pic.twitter.com/n1AQnUXdaR",,@SteveScalise @NRA @realDonaldTrump @GOP @Morning_Joe,#NeverAgain #MSDStrong #BoycottTheNRA,"969176739992784896",https://twitter.com/maydaymindy9/status/969176739992784896
"🦋💗ЅℋᎯᏇᏆᎽ💗🦋The Kaitee Project🤰🏻🤱🏻",Shawtypepelina,2018-03-01 02:27,154,124,"WOW! ’17 Children Are Dead, But At Least the School Got $54 Million’ #Parkland #BrowardCounty #Obama #BrowardCowards #SheriffIsrael #ThursdayThoughts #GunControlNow #NeverAgain #MAGAhttps://www.dangerous.com/41907/17-children-dead-least-school-got-54-million/ …",,,#Parkland #BrowardCounty #Obama #BrowardCowards #SheriffIsrael #ThursdayThoughts #GunControlNow #NeverAgain #MAGAhttps,"969157226463186944",https://twitter.com/Shawtypepelina/status/969157226463186944
"Nick Walden Poublon",NWPinPDX,2018-03-01 01:58,306,597,"The Trumpsters are calling #Walmart's decision not to sell guns to people under 21 is age discrimination -- you can't run for POTUS until you're 35. I suppose that's age discrimination as well? A 12 y/old who wants to drive? The 19 year old who can't go on a bender? #NeverAgain",,,#Walmart #NeverAgain,"969149978760306689",https://twitter.com/NWPinPDX/status/969149978760306689
"The Big Man",TheFatManDiary,2018-03-01 01:46,582,3554,"Hey, fellow Democrats! It's time we vote old @JoeManchinWV out of office. He might as well be Republican anyway. #NeverAgain",,@JoeManchinWV,#NeverAgain,"969146855572627456",https://twitter.com/TheFatManDiary/status/969146855572627456
"Ryan Knight is #AllInForWarren",ProudResister,2018-03-01 00:25,237,432,"Metal detectors. Bulletproof glass. Steel doors. Upgraded locks. Everything but banning weapons of war. Same old talking points. Same old NRA-backed GOP. #BanAssaultWeapons #NeverAgain https://twitter.com/foxnews/status/968746339612987392 …",,,#BanAssaultWeapons #NeverAgain,"969126438568800256",https://twitter.com/ProudResister/status/969126438568800256
"JimmyT",ElHenderz,2018-03-01 00:14,14,31,"Thank you @Dicks and @Walmart for taking action on gun control in the wake of the Parkland massacre. @Amazon @FedEx @Apple which side of history do you want to be on?? Do the right thing. #NeverAgain #BoycottNRA",,@Dicks @Walmart @Amazon @FedEx @Apple,#NeverAgain #BoycottNRA,"969123649448968193",https://twitter.com/ElHenderz/status/969123649448968193
"Trumpdictionary.com",trumpdictionary,2018-02-28 23:49,22,76,"Resisters feel like family and I love my family! We back #TheResistance, #MeToo, #NeverAgain, #BlueWave2018, #NotMyPresident, LockHimUp, #NeverTrump. Our time is coming!",,,#TheResistance #MeToo #NeverAgain #BlueWave2018 #NotMyPresident #NeverTrump,"969117521663033344",https://twitter.com/trumpdictionary/status/969117521663033344
"Nick Walden Poublon",NWPinPDX,2018-02-28 23:29,68,130,"If you'd like a good laugh and to see what the Constitution looks like after a prolonged game of Telephone -- go check out the #BoycottWalmart hashtag. Folks who have been calling US snowflakes are melting faster than #MarcoRubio's approval rating. #WednesdayWisdom #NeverAgain",,,#BoycottWalmart #MarcoRubio #WednesdayWisdom #NeverAgain,"969112360911650816",https://twitter.com/NWPinPDX/status/969112360911650816
"Cassandra Fairbanks",CassandraRules,2018-02-28 23:06,26,67,"Good. I want people to talk about Waco every day and remember that this is what happens when the government wants to take your guns. #neveragain https://twitter.com/whotrendedit/status/969104222020128768 …",,,#neveragain,"969106530086850560",https://twitter.com/CassandraRules/status/969106530086850560
"Debra Messing",DebraMessing,2018-02-28 23:04,27,150,"THE WORLD IS WATCHING, LEARNING—-and ACTING. #NeverAgain https://twitter.com/huffpost/status/969100565341986816 …",,,#NeverAgain,"969106022051844096",https://twitter.com/DebraMessing/status/969106022051844096
"All Resistance News",AllResistNews,2018-02-28 22:53,212,272,"We’re helping raise funds for gun safety with @Everytown. Purchase your “Boycott the NRA” apparel & a portion of the proceeds will be donated to Everytown for Gun Safety Support Fund. #NeverAgain #GunReformNow #MarchForOurLives #BoycottTheNRAhttps://teespring.com/shop/new-boycott-the-nra …",,@Everytown,#NeverAgain #GunReformNow #MarchForOurLives #BoycottTheNRAhttps,"969103432425529344",https://twitter.com/AllResistNews/status/969103432425529344
"Nick Walden Poublon",NWPinPDX,2018-02-28 22:30,18,57,"Dana Loesch should be forced to register her mouth as an #AssaultWeapon -- #WayneLaPierre her #bumpstock. #BoycottNRA #NRABloodMoney #NeverAgain #EnoughIsEnough #GunReformNow pic.twitter.com/USXSqdDaW2",,,#AssaultWeapon #WayneLaPierre #bumpstock #BoycottNRA #NRABloodMoney #NeverAgain #EnoughIsEnough #GunReformNow,"969097602984656896",https://twitter.com/NWPinPDX/status/969097602984656896
"Ashlee Marie Preston",AshleeMPreston,2018-02-28 22:27,107,364,"When parents send their children to school; they should be planning dinner that night—not their child’s funeral. #BoycottTheNRA #NeverAgain",,,#BoycottTheNRA #NeverAgain,"969096832050651137",https://twitter.com/AshleeMPreston/status/969096832050651137
"Nick Walden Poublon",NWPinPDX,2018-02-28 22:05,68,111,"Surf's up! #GOP incumbents are fleeing for dry land, Democrats are about to unleash the #BlueWave2018 and none of them want to risk the humiliation surely coming for a #Complicit GOP. #VoteThemOut #VoteBlue #FlipItBlue #Midterms2018 #NeverAgain #EnoughIsEnough pic.twitter.com/VL5jaMNz5I",,,#GOP #BlueWave2018 #Complicit #VoteThemOut #VoteBlue #FlipItBlue #Midterms2018 #NeverAgain #EnoughIsEnough,"969091288522829824",https://twitter.com/NWPinPDX/status/969091288522829824
"Is that true or did you hear it on @FOXnews?",JustitiaMatrona,2018-02-28 22:04,20,17,"This is GREAT Work! “Where does the NRA get their money?” by @KassandraSeven @davidhogg111 #NeverAgain https://twitter.com/i/moments/966548802550353920 …",,@KassandraSeven @davidhogg111,#NeverAgain,"969090871411884033",https://twitter.com/JustitiaMatrona/status/969090871411884033
