username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"La Sgarzigliona",LaSgarzigliona,2018-05-19 04:58,109,308,"Great job, Lucy. Rittenhouse didn’t interfere in this wedding! You saved history!!! #Timeless #RoyalWedding #HarryandMeghan #AbigailSpencer @abigailspencer pic.twitter.com/8wxZnNLiGJ",,@abigailspencer,#Timeless #RoyalWedding #HarryandMeghan #AbigailSpencer,"997808614441148417",https://twitter.com/LaSgarzigliona/status/997808614441148417
"ًㅤ",chantal483,2018-05-19 04:58,911,1700,"Life can sometimes surprise you #royaltime #RoyalWedding #RoyalWedding2018 #HarryAndMeghan pic.twitter.com/75s5zBIhEs",,,#royaltime #RoyalWedding #RoyalWedding2018 #HarryAndMeghan,"997808596070133760",https://twitter.com/chantal483/status/997808596070133760
"Chelle Luper Wilson",chellewilsonaka,2018-05-19 04:57,31,159,"For all those doubting MM blackness & any impact to racial relations she could make should be put to bed after all of black culture that was infused today. There has never been this much color and spice at a #royalwedding & that shows her influence #ANewDay #HarryAndMeghan pic.twitter.com/xw7Iba1gLX",,,#royalwedding #ANewDay #HarryAndMeghan,"997808483453071360",https://twitter.com/chellewilsonaka/status/997808483453071360
"Mocha Frap",mochafrap,2018-05-19 04:57,133,1029,"I swear I thought #MorganFreeman was gonna step on stage while the choir was singing and give a speech motivating me to be a better student and want to pass the SATs #LeanOnMe #JoeClark #RoyalWedding #HarryAndMeghan pic.twitter.com/nSkPke3vw8",,,#MorganFreeman #LeanOnMe #JoeClark #RoyalWedding #HarryAndMeghan,"997808451328720896",https://twitter.com/mochafrap/status/997808451328720896
"Atima Omara",atima_omara,2018-05-19 04:57,112,315,"The cellist playing is Sheku Kanneh-Mason. He is the first young black British musician to win the BBC Young Musician of the Year award in 2016. This is a televised national competition in Britain. Meghan personally called him to play at the #royalwedding #HarryAndMeghan",,,#royalwedding #HarryAndMeghan,"997808409704652800",https://twitter.com/atima_omara/status/997808409704652800
"Lynn V",lynnv378,2018-05-19 04:57,54,218,"The diversity we are seeing at this wedding. People that look like us playing prominent roles in this wedding. This is a testament to #HarryandMeghan and is a powerful response to the racist backlash she received. #RoyalWedding",,,#HarryandMeghan #RoyalWedding,"997808381984432128",https://twitter.com/lynnv378/status/997808381984432128
"FRANCE 24 English",France24_en,2018-05-19 04:56,56,122,"I do!! Watch the moment Prince Harry and Meghan Markle exchanged vows! #MeghanMarkle #PrinceHarry #HarryandMeghan #royalwedding pic.twitter.com/03XhOm5Upb",,,#MeghanMarkle #PrinceHarry #HarryandMeghan #royalwedding,"997808084188778496",https://twitter.com/France24_en/status/997808084188778496
"Cool Al 🦅🦅",SoCoolAl,2018-05-19 04:55,42,217,"Congratulations Harry & Meghan On A Beautiful Wedding! I’m Sure Princess Diana Is Smiling Down On The Both Of You #RoyalWedding #RoyalFamily #HarryAndMeghan #PrinceHarry #MeganMarkle pic.twitter.com/41bxZRYbfl",,,#RoyalWedding #RoyalFamily #HarryAndMeghan #PrinceHarry #MeganMarkle,"997808062902743042",https://twitter.com/SoCoolAl/status/997808062902743042
"CaptureOurWedding",CaptureOW,2018-05-19 04:55,37,112,"Meghan is wearing Queen Mary’s diamond bandeau tiara dating back to 1923, which was lent to her by the Queen. #royalwedding #harryandmeghan pic.twitter.com/u0gF5Wh57G",,,#royalwedding #harryandmeghan,"997808020515180544",https://twitter.com/CaptureOW/status/997808020515180544
"Alastair Stewart",alstewitn,2018-05-19 04:55,11,96,"#HarryandMeghan Lovely cut-away of Mike Tyndall, affectionately stroking his very pregnant wife Zara's tummy...",,,#HarryandMeghan,"997807985547202560",https://twitter.com/alstewitn/status/997807985547202560
"Pixie Carlisle",PixieCarlisle,2018-05-19 04:55,356,843,"Who is the #cellist playing at the Royal Wedding? All you need to know about Sheku Kanneh-Mason. #RoyalWedding #HarryandMeghan https://www.nottinghampost.com/whats-on/music-nightlife/royal-wedding-sheku-kanneh-mason-1524310 …",,,#cellist #RoyalWedding #HarryandMeghan,"997807924419448832",https://twitter.com/PixieCarlisle/status/997807924419448832
"A Diva of Winterfell ❄",ivoireCouronneM,2018-05-19 04:55,16,74,"This is so untraditional and comfortable. #MeghanMarkle really wanted it to be a very different, well oiled, diverse and meaningful ceremony. It's powerful and a prideful moment. Harry wasnt playing games. #RoyalWedding #RoyalWedding2018 #HarryandMeghan",,,#MeghanMarkle #RoyalWedding #RoyalWedding2018 #HarryandMeghan,"997807878609260545",https://twitter.com/ivoireCouronneM/status/997807878609260545
"Entertainment Tonight",etnow,2018-05-19 04:55,1409,4878,"Princess Diana would be so proud of #HarryandMeghan. #RoyalWedding pic.twitter.com/udPpivZayi",,,#HarryandMeghan #RoyalWedding,"997807858623303680",https://twitter.com/etnow/status/997807858623303680
"Rebecca English",RE_DailyMail,2018-05-19 04:54,293,2071,"Prince Charles sweetly took Doria’s hand as they left to sign the register - and Mike gave pregnant Zara a cuddle and rubbed her belly. This is one loved up wedding! #royalwedding #harryandmeghan",,,#royalwedding #harryandmeghan,"997807716222537728",https://twitter.com/RE_DailyMail/status/997807716222537728
"Asjad Nazir",asjadnazir,2018-05-19 04:53,51,198,"My favourite two outfits at #RoyalWedding are Amal Clooney & Priyanka Chopra. Who are yours? #PriyankaChopra #AmalClooney #HarryandMeghan pic.twitter.com/jOFv4nO5eI",,,#RoyalWedding #PriyankaChopra #AmalClooney #HarryandMeghan,"997807462391562244",https://twitter.com/asjadnazir/status/997807462391562244
"FRANCE 24 English",France24_en,2018-05-19 04:53,444,1039,"Gospel choir sings a touching version of Stand by Me during #royalwedding #MeghanMarkle #PrinceHarry #HarryandMeghan pic.twitter.com/0z4GRkFp1i",,,#royalwedding #MeghanMarkle #PrinceHarry #HarryandMeghan,"997807329692143616",https://twitter.com/France24_en/status/997807329692143616
"Meghan Markle Fan I meghanmarklefan.com",mmarklefancom,2018-05-19 04:52,33,174,"#MeghanMarkle is brightly smiling ! She looks incredibly happy #RoyalWedding #HarryAndMeghan pic.twitter.com/SmbatFfFwC",,,#MeghanMarkle #RoyalWedding #HarryAndMeghan,"997807268933627904",https://twitter.com/mmarklefancom/status/997807268933627904
