username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"WWTW",supportthewalk,2018-04-06 11:02,24,38,"We are excited to announce that #PrinceHarry will be Patron of our latest #expedition, the #WalkOfAmerica! He will be formally launching the expedition at an event in London on Wednesday, 11 April. http://bit.ly/2Ivw0qA #WhyIWalk #SupportTheWalk pic.twitter.com/UFP5lcNcho",,,#PrinceHarry #expedition #WalkOfAmerica #WhyIWalk #SupportTheWalk,"982317674763046914",https://twitter.com/supportthewalk/status/982317674763046914
"Katie Hopkins",KTHopkins,2018-04-06 11:00,58,155,"Hopkins Predicts: ‘leaked’ photos of the Obamas attending #PrinceHarry & #MeghanMarkle wedding reception. Plus EXCLUSIVE Netflix works first interview with Obama and newly weds",,,#PrinceHarry #MeghanMarkle,"982317057336315906",https://twitter.com/KTHopkins/status/982317057336315906
"Mark Cuthbert",markacuthbert,2018-04-06 05:43,50,178,"Prince Harry and Meghan Markle attend the UK Team Trials for the Invictus Games Sydney 2018 at University of Bath. #PrinceHarry #MeghanMarkle #invictusgames #bath pic.twitter.com/ZlZoVjZQ4a",,,#PrinceHarry #MeghanMarkle #invictusgames #bath,"982237387555090433",https://twitter.com/markacuthbert/status/982237387555090433
"Royal Circular",Royal_Circular,2018-04-06 05:10,23,69,"Harry and Meghan enjoying some of the @InvictusSydney trials today at Bath University. #PrinceHarry #MeghanMarkle #Invictus #HarryandMeghan #weareinvictus #InvictusGames pic.twitter.com/ba1ssX9I1B",,@InvictusSydney,#PrinceHarry #MeghanMarkle #Invictus #HarryandMeghan #weareinvictus #InvictusGames,"982229167398838272",https://twitter.com/Royal_Circular/status/982229167398838272
"Emily Nash",emynash,2018-04-06 05:04,38,114,"WATCH: Harry and Meghan meet competitors @WeAreInvictus #MeghanMarkle #PrinceHarry pic.twitter.com/fuaTGwR5gg",,@WeAreInvictus,#MeghanMarkle #PrinceHarry,"982227463659962368",https://twitter.com/emynash/status/982227463659962368
"Emily Nash",emynash,2018-04-06 03:11,12,68,"I’m in sunny Bath today where #PrinceHarry and #MeghanMarkle will attend the UK team trials for @InvictusSydney at the @UniofBath Sports Training Village @WeAreInvictus pic.twitter.com/KYfEQ5zpu0",,@InvictusSydney @UniofBath @WeAreInvictus,#PrinceHarry #MeghanMarkle,"982199088253779968",https://twitter.com/emynash/status/982199088253779968
"Chris Jackson",ChrisJack_Getty,2018-04-05 08:45,26,116,"Great news that #PrinceHarry has just been announced as patron of Walk of America with @supportthewalk #walkingforthewounded - Here he is during he #WalkofBritain in beautiful Ludlow a couple of years ago #walking #princeharry #theroyalfoundation pic.twitter.com/C8SVvTe9cv",,@supportthewalk,#PrinceHarry #walkingforthewounded #WalkofBritain #walking #princeharry #theroyalfoundation,"981920665447161856",https://twitter.com/ChrisJack_Getty/status/981920665447161856
"Ⓜ",Royals_online,2018-04-04 14:24,103,388,"Gentleman Harry! #PrinceHarry #MeghanMarkle pic.twitter.com/EcX2dBso23",,,#PrinceHarry #MeghanMarkle,"981643711443623936",https://twitter.com/Royals_online/status/981643711443623936
"CGTN",CGTNOfficial,2018-04-01 07:31,51,209,"Queen Elizabeth was joined by other royals on Sunday for Easter service at St George's Chapel, where #PrinceHarry and #MeghanMarkle will marry next month pic.twitter.com/Za4TrMjIs7",,,#PrinceHarry #MeghanMarkle,"980452683713732609",https://twitter.com/CGTNOfficial/status/980452683713732609
"Emily Andrews",byEmilyAndrews,2018-03-31 16:05,46,180,"#meghanmarkle & #princeharry have chosen celeb florist Philippa Craddock to do their #RoyalWedding flowers. Think peonies, white roses, foxgloves & bee-friendly cornflowers & delphiniums. Lovely! Many of the blooms will come from HM’s gardens & Crown Estate parks pic.twitter.com/cfcmayZKAa",,,#meghanmarkle #princeharry #RoyalWedding,"980219622778720258",https://twitter.com/byEmilyAndrews/status/980219622778720258
"N",The71_niji,2018-03-30 09:46,175,579,"Wow amazing Prince Harry and Ms. Markle montage #PrinceHarry #MeghanMarkle @KensingtonRoyal pic.twitter.com/7ao7xgOlQQ",,@KensingtonRoyal,#PrinceHarry #MeghanMarkle,"979761700604993537",https://twitter.com/The71_niji/status/979761700604993537
"China Xinhua News",XHNews,2018-03-30 06:20,18,102,"Multi-mln-pound ring of steel to be erected to protect #royalwedding of #PrinceHarry and #MeghanMarkle http://xhne.ws/0urww pic.twitter.com/k1U1ZQMTwi",,,#royalwedding #PrinceHarry #MeghanMarkle,"979710016725966848",https://twitter.com/XHNews/status/979710016725966848
"CGTN",CGTNOfficial,2018-03-29 07:50,35,218,"Will the royal wedding of #PrinceHarry and Meghan reshape the world's wedding style? pic.twitter.com/eJlQkDqK8K",,,#PrinceHarry,"979370091937763328",https://twitter.com/CGTNOfficial/status/979370091937763328
"On Demand News",ODN,2018-03-28 08:22,15,37,"As the Royal Wedding fast approaches (52 days!) we decided to have a #TBT dedicated to Prince Harry. #Princeharry #royalwedding pic.twitter.com/9t6ZCADPur",,,#TBT #Princeharry #royalwedding,"979015786864967680",https://twitter.com/ODN/status/979015786864967680
"Gert's Royals",Gertsroyals,2018-03-28 07:28,16,34,"After last week's initial launch a few new items have been added to the @RCT's Royal Wedding Collection, available online & at Buckingham Palace, Windsor Castle, and Holyrood Palace gift shops. #PrinceHarry #MeghanMarkle http://www.royalcollectionshop.co.uk/chinaware/collection/royal-wedding.html … pic.twitter.com/SIHtJWBNJx",,@RCT,#PrinceHarry #MeghanMarkle,"979002341834838016",https://twitter.com/Gertsroyals/status/979002341834838016
"Perez Hilton",PerezHilton,2018-03-27 09:34,6,31,"None of this matters if we don't get to see him shirtless, tbh! #PrinceHarry #MeghanMarkle #RoyalWedding http://goo.gl/RK5RgT",,,#PrinceHarry #MeghanMarkle #RoyalWedding,"978671551880093696",https://twitter.com/PerezHilton/status/978671551880093696
"Roya Nikkhah",RoyaNikkhah,2018-03-25 03:47,13,46,"Grenfell survivors & community members will be #royalwedding guests. The Queen & Duke of Cambridge visited Grenfell soon after the tragedy, #MeghanMarkle made private visits, #PrinceHarry & William visited in September and theIr Royal Foundation established #support4Grenfell hubhttps://twitter.com/royanikkhah/status/977850085940891654 …",,,#royalwedding #MeghanMarkle #PrinceHarry #support4Grenfell,"977859389569761280",https://twitter.com/RoyaNikkhah/status/977859389569761280
"Emily Nash",emynash,2018-03-23 10:15,13,59,"A glimpse of #MeghanMarkle’s calligraphy skills as she and #PrinceHarry signed the Visitors’ Book at @TitanicBelfast pic.twitter.com/j67pEnddfV",,@TitanicBelfast,#MeghanMarkle #PrinceHarry,"977232469740187648",https://twitter.com/emynash/status/977232469740187648
"Rebecca English",RE_DailyMail,2018-03-23 09:46,12,84,"All the news and pix from #PrinceHarry and #MeghanMarkle’s visit to #Belfast today @MailOnlinehttp://www.dailymail.co.uk/news/article-5535801/Meghan-Harry-arrive-Belfast-Northern-Ireland-trip.html …",,@MailOnlinehttp,#PrinceHarry #MeghanMarkle #Belfast,"977224972623122433",https://twitter.com/RE_DailyMail/status/977224972623122433
"Rebecca English",RE_DailyMail,2018-03-23 08:54,82,378,"Royal baby alert! #PrinceHarry and #MeghanMarkle met a husband and wife team who make innovative baby products today in #Belfast. Meghan pointed to the product range and said: I'm sure at some point we'll need the whole (lot).!!!",,,#PrinceHarry #MeghanMarkle #Belfast,"977212059355099142",https://twitter.com/RE_DailyMail/status/977212059355099142
"Rebecca English",RE_DailyMail,2018-03-23 08:27,31,116,"#PrinceHarry and #MeghanMarkle with some eerie prosthetics in #Belfast today pic.twitter.com/jVZUgdsBja",,,#PrinceHarry #MeghanMarkle #Belfast,"977205298044768257",https://twitter.com/RE_DailyMail/status/977205298044768257
"RoyalCollectionTrust",RCT,2018-03-23 08:05,30,78,"We've launched the official range of commemorative china to celebrate the #royalwedding of #PrinceHarry and Ms #MeghanMarkle. The exclusive design has a monogram of the couple's initials at its centre. http://bit.ly/2DPfWwW pic.twitter.com/EyZTr88wGX",,,#royalwedding #PrinceHarry #MeghanMarkle,"977199599332024320",https://twitter.com/RCT/status/977199599332024320
"Sarah Campbell",SarahCam3,2018-03-23 05:56,13,31,"#PrinceHarry and #meghanmarkle are in the pub. Apparently they are going to learn how to pull the perfect pint of Guinness #royalwedding #Belfast pic.twitter.com/GktSZn75vA",,,#PrinceHarry #meghanmarkle #royalwedding #Belfast,"977167161788649472",https://twitter.com/SarahCam3/status/977167161788649472
"InStyle",InStyle,2018-03-23 04:58,31,137,"I mean... Meghan Markle and Prince Harry made a surprise visit to a youth center in Northern Ireland, and are giving everyone all the feels. #MeghanMarkle #PrinceHarry pic.twitter.com/WYss1FebyP",,,#MeghanMarkle #PrinceHarry,"977152591204405253",https://twitter.com/InStyle/status/977152591204405253
