username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"jacksen",jaxemersen,2018-05-25 08:55,36,67,"noblesville marks the 23rd school shooting this year #GunControlNow",,,#GunControlNow,"1000042640526757888",https://twitter.com/jaxemersen/status/1000042640526757888
"Matthew W. Parsons",CajPaLa,2018-05-25 08:37,16,56,"Pretty fuck*d up when the only reprieve from school shootings is called summer vacation. #GunControlNow #GunReformNow",,,#GunControlNow #GunReformNow,"1000038035713490946",https://twitter.com/CajPaLa/status/1000038035713490946
"Red T Raccoon",RedTRaccoon,2018-05-25 08:36,150,185,"Police update on the Noblesville West Middle School shooting. When is enough really enough? This cycle of gun violence in our schools must end. #EnoughIsEnough #GunControlNow pic.twitter.com/K3lNSMX3Td",,,#EnoughIsEnough #GunControlNow,"1000037993552465921",https://twitter.com/RedTRaccoon/status/1000037993552465921
"Carolyn  B. Maloney",RepMaloney,2018-05-25 08:26,6,26,"If you think #gunviolence isnt an epidemic in this country, you arent paying attention (or maybe the #NRA has paid you off). We need #GunControlNow. I've intro'd 7 #GunSafety bills but none have been given the time of day by @GOP majority. #EnoughIsEnoughhttp://wsbt.com/news/local/report-one-injured-in-shooting-at-noblesville-middle-school …",,@GOP,#gunviolence #NRA #GunControlNow #GunSafety #EnoughIsEnoughhttp,"1000035441322622977",https://twitter.com/RepMaloney/status/1000035441322622977
"The Tweetwit",TheTweetwit,2018-05-25 08:20,8,11,"Two injured in shooting incident at Indiana middle school: police: https://aol.it/2ILkHiy I guess this will continue until some members of the GOP in Congress start losing some of their grandchildren to gun violence. #GunReformNow #GunControlNow",,,#GunReformNow #GunControlNow,"1000033977351028736",https://twitter.com/TheTweetwit/status/1000033977351028736
"Matt",nosoupforgeorge,2018-05-25 08:13,30,52,"CONFIRMED: the #ThoughtsAndPrayers offered by politicians after #Orlando, #LasVegas, #Parkland, & exactly 1 week ago, after #SantaFe, all failed to prevent this morning's Noblesville West Middle School shooting in Indiana. Okay to talk about #GunControlNow? #Enough #NeverAgainhttps://twitter.com/CBSEveningNews/status/1000013568371298309 …",,,#ThoughtsAndPrayers #Orlando #LasVegas #Parkland #SantaFe #GunControlNow #Enough #NeverAgainhttps,"1000032045421051904",https://twitter.com/nosoupforgeorge/status/1000032045421051904
"Gays Against Guns",GAGnoguns,2018-05-25 07:38,8,10,"Exactly when are our elected officials going to get it? How many more children have to be killed, wounded, or terrorized before these politicians understand how badly they have failed our country. #GunControlNow #neveragain #noblesvillehttps://twitter.com/jaywwalker1/status/1000021065479933952 …",,,#GunControlNow #neveragain #noblesvillehttps,"1000023209473867777",https://twitter.com/GAGnoguns/status/1000023209473867777
"Katie Maudlin Ⓥ 🌱",KatelynRoseM72,2018-05-25 06:43,13,27,"HEY CAN WE PLEASE DO SOMETHING ABOUT THIS NOW?? #enough #guncontrolnow https://twitter.com/FOX59/status/1000004765923856389 …",,,#enough #guncontrolnow,"1000009342702247936",https://twitter.com/KatelynRoseM72/status/1000009342702247936
"Matthew W. Parsons",CajPaLa,2018-05-25 01:25,33,88,"What's wrong with the 2nd Amendment? Nothing. It is 27 simple words and does not need to be changed. What we need to change is allowing the #NRA to purchase their own interpretation through our lawmakers. That. Needs. To. Change. #GunReformNow #GunControlNow",,,#NRA #GunReformNow #GunControlNow,"999929354732777472",https://twitter.com/CajPaLa/status/999929354732777472
"Elanor Gardner",Sams1stDaughter,2018-05-24 19:00,21,28,"The common factor in all mass shootings? The gun. #NotOneMore #EnoughIsEnough #GunSenseNow #EndGunViolence #GunControlNow pic.twitter.com/6fOGkFgEPd",,,#NotOneMore #EnoughIsEnough #GunSenseNow #EndGunViolence #GunControlNow,"999832468285833216",https://twitter.com/Sams1stDaughter/status/999832468285833216
