username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Megan Cruz",MeganWFTV,2019-05-23 14:39,0,1,"I’m going for the wind-blown look today #ICYMI, we’re T-minus 5 hours to ! @SpaceX #Starlink #falcon9 @NASAKennedy @wftv #wftv #fllife #florida pic.twitter.com/eWngMG7UTB",,@SpaceX @NASAKennedy @wftv,#ICYMI #Starlink #falcon9 #wftv #fllife #florida,"1131676132569473026",https://twitter.com/MeganWFTV/status/1131676132569473026
"Holger Voss",SpaceHolgar,2019-05-23 14:05,2,7,"All the best for the #Starlink launch attempt! The third time will be the charme! We will be watching! And our mini #SpaceX #Falcon9 launched already with all 9 motors firing! More footage here: https://youtu.be/vdwZVN1M5uk #minilaunchers pic.twitter.com/nMDcx0vsm3",,,#Starlink #SpaceX #Falcon9 #minilaunchers,"1131667507423666177",https://twitter.com/SpaceHolgar/status/1131667507423666177
"PCMasterDesigns",Malone19111,2019-05-23 07:48,0,0,"Big rockets! . . . . #space #spacex #falcon9 #kennedyspacecenter #nasa #astronaut #spacesuit #huge #cool #cooltech #fun #funtech #place2be #1960s #interesting #fueltank #thrusters #thruster #museum #rockets #spaceships #rovers #rover #landing #liftoff #eustonwehaveaproblem pic.twitter.com/A5JMjhNEy7",,,#space #spacex #falcon9 #kennedyspacecenter #nasa #astronaut #spacesuit #huge #cool #cooltech #fun #funtech #place2be #1960s #interesting #fueltank #thrusters #thruster #museum #rockets #spaceships #rovers #rover #landing #liftoff #eustonwehaveaproblem,"1131572632271380481",https://twitter.com/Malone19111/status/1131572632271380481
"Ken Kremer",ken_kremer,2019-05-22 21:00,1,8,"3 my @SpaceX #Falcon9 pics featured in @Fox35News story about upper level winds scrub of last weeks #Starlink launch and how they are measured by @45thSpaceWing Weather Squadron. Reporter @MikeMagsFOX35 http://www.fox35orlando.com/news/local-news/spacex-tracking-upper-level-wind-ahead-of-thursday-night-launch … pic.twitter.com/0UonpTo811",,@SpaceX @Fox35News @45thSpaceWing @MikeMagsFOX35,#Falcon9 #Starlink,"1131409647678709761",https://twitter.com/ken_kremer/status/1131409647678709761
"Florida's Space Coast",flaspacecoast,2019-05-22 10:27,0,5,"A @SpaceX #Falcon9 rocket will launch 60 satellites for their Starlink broadband network with a launch window opening on May 23 from 10:30 p.m. to 12:30 a.m. pic.twitter.com/LJElXn4pfi",,@SpaceX,#Falcon9,"1131250138276605952",https://twitter.com/flaspacecoast/status/1131250138276605952
"Falcon 9 Block 5",Falcon9Block5,2019-05-20 22:25,0,1,"Approaching T-2 Days till liftoff Of Starlink 1. Here are some pics of Booster B1049.3 as it lifted off and landed earlier this year on the Iridium 8 NEXT mission. On the second image, u can see 3 people standing to the right of the booster. #Starlink #SpaceX #Falcon9 pic.twitter.com/CTloWTK8jv",,,#Starlink #SpaceX #Falcon9,"1130706241628528641",https://twitter.com/Falcon9Block5/status/1130706241628528641
"Falcon 9 Block 5",Falcon9Block5,2019-05-20 15:42,0,0,"SpaceX booster recovery droneship has left port for the landing zone 621km away. #SpaceX @OCISLYDroneship #Starlink #Falcon9 Photo: @lake_sea_mtns pic.twitter.com/PykfWIqPPT",,@OCISLYDroneship @lake_sea_mtns,#SpaceX #Starlink #Falcon9,"1130604738779598849",https://twitter.com/Falcon9Block5/status/1130604738779598849
"Ken Kremer",ken_kremer,2019-05-20 14:32,5,49,"#SpaceX has rescheduled the #Starlink1 launch on this twice flown #Falcon9 for May 23 at 1030 PM ET. Stay tuned here for @SpaceX updates pic.twitter.com/8y2oF70ThE",,@SpaceX,#SpaceX #Starlink1 #Falcon9,"1130587124846219265",https://twitter.com/ken_kremer/status/1130587124846219265
"Falcon 9 Block 5",Falcon9Block5,2019-05-19 18:40,3,11,"Fun fact about @NASA 's Transiting Exoplanet Surveyor Satellite @NASA_TESS : The spacecraft is very small! Take a look at it, as it's getting loaded into the @spaceX Falcon 9's fairings which can fit a school bus inside them. #SpaceX #NASA #TESS #Falcon9 pic.twitter.com/8BMA5Am9tu",,@NASA @NASA_TESS @spaceX,#SpaceX #NASA #TESS #Falcon9,"1130287050064662528",https://twitter.com/Falcon9Block5/status/1130287050064662528
"Vickie MacFadden",VickieMacFadden,2019-05-23 16:48,0,1,"Love your Nikola guy! #SpaceX #Starlink #NikolaTesla #Falcon9 https://twitter.com/timelapsejunkie/status/1131673507631378450 …",,,#SpaceX #Starlink #NikolaTesla #Falcon9,"1131708524386504704",https://twitter.com/VickieMacFadden/status/1131708524386504704
"Jon Van Horne [SCLA]🐴📷🌴",therealjonvh,2019-05-23 16:24,0,3,"Live tonight 10:10PM EDT covering @SpaceX launch of the #Falcon9 #Starlink mission from Jetty Park, Cape Canaveral, Florida. https://twitch.tv/jonvanhorne Follow, Sub and Share!",,@SpaceX,#Falcon9 #Starlink,"1131702415177277441",https://twitter.com/therealjonvh/status/1131702415177277441
"Tony Mainolfi",TMainolfiWESH,2019-05-23 14:58,4,2,"Here's an update on the launch forecast for the #Falcon9 for tonight. Upper level winds aren't as strong as last week but are running about 40 mph at 40,000 feet. Watching them carefully for tonight's launch. #WESHwx pic.twitter.com/I62jLu7P6f",,,#Falcon9 #WESHwx,"1131680919918731265",https://twitter.com/TMainolfiWESH/status/1131680919918731265
"Who Is Heartbreak",whoisheartbreak,2019-05-23 14:37,0,6,"#LAUNCHDAY ! Webcast starts at 7:15pm PST / 10:15pm EDT - link in my story and bio! #starlink #falcon9 #spacex #falcon #launch #rocket #rockethb https://www.instagram.com/p/Bx0gH5jgYKw/?igshid=1epzr2d6exy7n …",,,#LAUNCHDAY #starlink #falcon9 #spacex #falcon #launch #rocket #rockethb,"1131675585279909889",https://twitter.com/whoisheartbreak/status/1131675585279909889
"Angela Jacobs WFTV",AngelaJacobsTV,2019-05-23 14:35,0,1,"On @WFTV Inspector with @SpaceX ex-supplier accused of forging passed inspections for parts that made it onto #Falcon9 & #falconheavy space vehicles. @FBI says the alleged crime had catastrophic potential. #wftv pic.twitter.com/n2NWOWsTCl",,@WFTV @SpaceX @FBI,#Falcon9 #falconheavy #wftv,"1131674989588078592",https://twitter.com/AngelaJacobsTV/status/1131674989588078592
